,Market Cap (intraday) ,Enterprise Value ,Trailing P/E ,Forward P/E ,PEG Ratio (5 yr expected) ,Price/Sales (ttm),Price/Book (mrq),Enterprise Value/Revenue ,Enterprise Value/EBITDA ,Beta (5Y Monthly) ,52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float 8,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (Nov 29, 2021) 4","Short Ratio (Nov 29, 2021) 4","Short % of Float (Nov 29, 2021) 4","Short % of Shares Outstanding (Nov 29, 2021) 4","Shares Short (prior month Oct 28, 2021) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends ,Most Recent Quarter (mrq),Profit Margin ,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA ,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),"Shares Short (Nov 14, 2021) 4","Short Ratio (Nov 14, 2021) 4","Short % of Float (Nov 14, 2021) 4","Short % of Shares Outstanding (Nov 14, 2021) 4","Shares Short (prior month Oct 14, 2021) 4",Shares Short  4,Short Ratio  4,Short % of Float  4,Short % of Shares Outstanding  4,Shares Short (prior month ) 4,"Shares Short (May 27, 2021) 4","Short Ratio (May 27, 2021) 4","Short % of Float (May 27, 2021) 4","Short % of Shares Outstanding (May 27, 2021) 4","Shares Short (prior month Apr 29, 2021) 4","Shares Short (Jun 14, 2021) 4","Short Ratio (Jun 14, 2021) 4","Short % of Float (Jun 14, 2021) 4","Short % of Shares Outstanding (Jun 14, 2021) 4","Shares Short (prior month May 13, 2021) 4","Shares Short (Aug 12, 2021) 4","Short Ratio (Aug 12, 2021) 4","Short % of Float (Aug 12, 2021) 4","Short % of Shares Outstanding (Aug 12, 2021) 4","Shares Short (prior month Jul 14, 2021) 4","Shares Short (Jul 29, 2021) 4","Short Ratio (Jul 29, 2021) 4","Short % of Float (Jul 29, 2021) 4","Short % of Shares Outstanding (Jul 29, 2021) 4","Shares Short (prior month Jun 29, 2021) 4","Shares Short (Sep 14, 2021) 4","Short Ratio (Sep 14, 2021) 4","Short % of Float (Sep 14, 2021) 4","Short % of Shares Outstanding (Sep 14, 2021) 4","Shares Short (prior month Aug 12, 2021) 4","Shares Short (Oct 14, 2021) 4","Short Ratio (Oct 14, 2021) 4","Short % of Float (Oct 14, 2021) 4","Short % of Shares Outstanding (Oct 14, 2021) 4","Shares Short (prior month Sep 14, 2021) 4","Shares Short (Apr 14, 2021) 4","Short Ratio (Apr 14, 2021) 4","Short % of Float (Apr 14, 2021) 4","Short % of Shares Outstanding (Apr 14, 2021) 4","Shares Short (prior month Mar 14, 2021) 4","Shares Short (Aug 30, 2021) 4","Short Ratio (Aug 30, 2021) 4","Short % of Float (Aug 30, 2021) 4","Short % of Shares Outstanding (Aug 30, 2021) 4","Shares Short (prior month Jul 29, 2021) 4","Shares Short (Oct 28, 2021) 4","Short Ratio (Oct 28, 2021) 4","Short % of Float (Oct 28, 2021) 4","Short % of Shares Outstanding (Oct 28, 2021) 4","Shares Short (prior month Sep 29, 2021) 4","Shares Short (Sep 29, 2021) 4","Short Ratio (Sep 29, 2021) 4","Short % of Float (Sep 29, 2021) 4","Short % of Shares Outstanding (Sep 29, 2021) 4","Shares Short (prior month Aug 30, 2021) 4","Shares Short (Jul 14, 2021) 4","Short Ratio (Jul 14, 2021) 4","Short % of Float (Jul 14, 2021) 4","Short % of Shares Outstanding (Jul 14, 2021) 4","Shares Short (prior month Jun 14, 2021) 4","Shares Short (Jun 29, 2021) 4","Short Ratio (Jun 29, 2021) 4","Short % of Float (Jun 29, 2021) 4","Short % of Shares Outstanding (Jun 29, 2021) 4","Shares Short (prior month May 27, 2021) 4","Shares Short (Apr 29, 2021) 4","Short Ratio (Apr 29, 2021) 4","Short % of Float (Apr 29, 2021) 4","Short % of Shares Outstanding (Apr 29, 2021) 4","Shares Short (prior month Mar 30, 2021) 4"
AAPL,2.94T,3.01T,31.99,32.05,3.85,8.27,46.67,8.22,24.41,1.20,33.46%,25.05%,182.13,116.21,156.34,141.48,89.17M,133.84M,16.41B,N/A,16.39B,0.07%,58.79%,112.6M,1.4,0.69%,0.69%,100.5M,0.88,0.51%,0.85,0.50%,1.20,15.15%,"Nov 10, 2021","Nov 04, 2021",4:1,"Aug 30, 2020","Sep 24, 2021","Sep 24, 2021",25.88%,29.78%,20.18%,147.44%,365.82B,21.90,28.80%,152.84B,120.23B,94.68B,5.61,62.20%,62.64B,3.82,136.52B,216.39,1.08,3.84,104.04B,73.3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2.57T,2.50T,38.32,37.45,2.91,14.75,16.92,14.21,27.81,0.87,45.47%,25.05%,349.67,211.94,325.68,282.93,26.63M,33.76M,7.51B,N/A,7.5B,0.07%,71.84%,40.88M,1.68,0.54%,0.54%,49.33M,2.48,0.77%,2.30,0.71%,1.42,25.06%,"Mar 09, 2022","Feb 15, 2022",2:1,"Feb 17, 2003","Jun 29, 2021","Sep 29, 2021",38.51%,42.14%,14.59%,49.30%,176.25B,23.40,22.00%,115.86B,85.75B,67.88B,8.94,47.60%,130.58B,17.39,78.93B,51.94,2.16,20.24,81.95B,49.82B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVDA,754.95B,747.48B,93.06,58.82,3.22,31.51,31.72,30.79,75.30,1.37,108.52%,25.05%,346.47,115.67,278.43,203.24,40.22M,60.89M,2.49B,N/A,2.4B,4.08%,66.82%,22.55M,0.44,0.94%,0.90%,26.11M,0.16,0.06%,0.16,0.06%,0.26,4.93%,"Dec 22, 2021","Nov 30, 2021",4:1,"Jul 19, 2021","Jan 30, 2021","Oct 30, 2021",33.81%,35.45%,15.93%,41.94%,24.27B,9.75,50.30%,10.56B,9.76B,8.21B,3.24,84.40%,19.3B,7.72,11.83B,49.70,7.14,9.51,8.14B,5.94B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSM,567.15B,553.17B,30.20,25.38,1.89,11.31,8.23,0.37,0.53,1.00,10.96%,25.05%,142.20,102.91,117.30,116.97,7.82M,7.07M,5.19B,N/A,4.84B,0.01%,17.27%,13.06M,1.47,N/A,0.25%,12.34M,1.93,1.66%,10.75,9.24%,2.81,46.96%,"Apr 13, 2022","Mar 15, 2022",1005:1000,"Jul 14, 2009","Dec 30, 2020","Sep 29, 2021",37.93%,41.34%,13.08%,29.67%,1.51T,291.31,16.30%,711.15B,1.03T,573.07B,3.97,13.80%,989.53B,190.8,605.18B,29.12,2.09,400.30,993.09B,103.62B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASML,319.75B,319.36B,52.21,40.82,1.81,15.94,24.77,17.86,47.70,0.95,58.78%,25.05%,895.93,459.48,800.60,728.48,967.54k,908.93k,413.33M,N/A,407.8M,0.00%,18.61%,1.01M,1.26,N/A,0.24%,842.77k,3.96,0.53%,3.35,0.45%,0.83,20.74%,"Nov 11, 2021","Nov 01, 2021",8:9,"Sep 30, 2007","Dec 30, 2020","Oct 02, 2021",30.54%,34.83%,14.76%,43.26%,17.88B,43.31,32.40%,6.8B,6.6B,5.46B,14.84,63.90%,4.46B,10.92,4.11B,35.69,1.71,28.20,9.1B,6.56B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVGO,260.01B,289.39B,46.79,20.66,1.44,10.19,10.68,10.54,19.70,0.95,48.05%,25.05%,645.79,419.14,551.69,493.21,1.94M,3.42M,411.62M,N/A,405.85M,2.40%,82.24%,4.61M,2.81,1.58%,1.12%,5.09M,16.4,2.58%,14.90,2.35%,2.79,96.00%,"Dec 30, 2021","Dec 20, 2021",N/A,N/A,"Oct 30, 2021","Oct 30, 2021",24.54%,31.63%,7.16%,27.56%,27.45B,66.95,14.50%,20.29B,14.72B,6.44B,15.00,50.20%,12.16B,29.46,40.27B,161.16,2.64,60.44,13.76B,11.87B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADBE,269.35B,267.87B,46.86,39.68,2.05,18.04,18.69,16.97,40.55,1.06,11.69%,25.05%,699.54,420.78,641.16,578.92,2.8M,4.8M,475.8M,N/A,474.61M,0.31%,85.36%,4.15M,2.01,0.87%,0.87%,4.96M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,"Mar 23, 2005",2:1,"May 23, 2005","Dec 02, 2021","Dec 02, 2021",30.55%,36.76%,14.08%,34.37%,15.78B,33.09,20.00%,13.92B,6.58B,4.82B,10.02,-45.20%,5.8B,12.18,4.67B,31.58,1.25,31.09,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACN,239.67B,235.00B,41.42,37.31,3.52,4.85,12.27,4.65,24.20,1.13,51.57%,25.05%,413.65,241.73,360.89,316.61,2.21M,2.95M,632M,658.84M,631.25M,0.12%,73.70%,3.56M,1.65,0.56%,0.56%,3.93M,3.88,0.98%,3.70,0.93%,1.54,38.43%,"Feb 14, 2022","Jan 11, 2022",N/A,N/A,"Aug 30, 2021","Nov 29, 2021",11.53%,15.20%,12.46%,31.95%,53.74B,84.72,27.20%,16.36B,9.03B,6.2B,9.61,19.40%,5.64B,8.93,3.48B,16.61,1.22,32.20,7.9B,6.32B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSCO,249.89B,236.05B,22.03,17.24,3.15,4.94,5.85,4.65,14.23,0.91,34.71%,25.05%,60.80,43.35,56.41,54.48,20.13M,25.98M,4.22B,N/A,4.21B,0.07%,75.17%,44.96M,1.85,1.07%,1.07%,41.42M,1.48,2.45%,1.47,2.43%,2.96,54.65%,"Jan 25, 2022","Jan 03, 2022",2:1,"Mar 22, 2000","Jul 30, 2021","Oct 29, 2021",22.44%,27.67%,9.20%,28.19%,50.79B,12.04,8.10%,31.89B,15.86B,11.4B,2.69,37.10%,23.35B,5.54,10.69B,25.03,1.62,10.13,14.79B,10.93B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORCL,280.56B,323.97B,21.88,21.79,2.78,7.44,N/A,7.83,22.68,0.81,49.84%,25.05%,106.34,59.74,95.01,85.13,9.71M,15.55M,2.67B,N/A,1.52B,41.91%,43.69%,27.7M,3.73,1.74%,1.01%,29.46M,1.28,1.32%,1.20,1.24%,1.53,34.78%,"Jan 18, 2022","Jan 05, 2022",2:1,"Oct 12, 2000","May 30, 2021","Nov 29, 2021",24.79%,38.56%,9.20%,N/A,41.4B,14.75,5.70%,32.62B,18.41B,10.26B,3.54,N/A,22.84B,8.55,78.43B,N/A,1.65,-3.78,10.25B,9.68B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRM,262.04B,266.65B,147.79,57.80,3.51,10.21,4.59,10.67,64.21,1.09,11.68%,25.05%,311.75,201.51,286.64,251.40,5.82M,6.26M,985M,N/A,951.89M,3.43%,80.12%,12.3M,2.6,1.29%,1.25%,17.17M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,4:1,"Apr 17, 2013","Jan 30, 2021","Oct 30, 2021",6.96%,3.89%,0.83%,3.57%,24.98B,26.63,26.60%,15.81B,3.4B,1.74B,1.82,-56.70%,9.39B,9.53,14.34B,25.13,1.06,57.98,6.19B,8.6B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTC,205.75B,211.42B,9.82,13.97,2.79,2.64,2.28,2.69,5.82,0.52,9.19%,25.05%,68.49,45.24,50.82,55.61,30.95M,41.03M,4.07B,N/A,4.06B,0.07%,65.02%,75.85M,2.58,1.87%,1.86%,72.87M,1.39,2.75%,1.37,2.71%,2.49,26.65%,"Nov 30, 2021","Nov 03, 2021",2:1,"Jul 30, 2000","Dec 25, 2020","Sep 24, 2021",26.89%,29.31%,9.18%,25.63%,78.47B,19.30,4.70%,43.61B,34.72B,21.1B,5.16,59.60%,34.64B,8.52,40.3B,44.74,2.07,22.15,34.08B,6.14B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QCOM,205.95B,209.28B,23.36,17.39,1.08,6.29,20.70,6.23,16.86,1.27,20.44%,25.05%,192.68,122.17,159.28,142.74,10.53M,10.66M,1.12B,N/A,1.12B,0.14%,74.72%,14.52M,0.94,1.30%,1.30%,14.82M,2.72,1.54%,2.66,1.50%,3.15,33.80%,"Dec 15, 2021","Nov 30, 2021",2:1,"Aug 15, 2004","Sep 25, 2021","Sep 25, 2021",26.94%,29.16%,15.93%,112.85%,33.57B,29.68,11.90%,19.3B,11.37B,9.04B,7.87,-5.50%,12.41B,11.08,16.3B,163.81,1.68,8.84,10.54B,8.52B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTU,191.97B,191.23B,88.85,57.80,3.28,18.14,19.72,18.54,62.84,1.05,65.00%,25.05%,716.86,357.69,622.03,512.41,1.51M,1.92M,283.17M,N/A,275.3M,2.81%,83.20%,1.77M,1.09,0.64%,0.62%,2.11M,2.72,0.44%,2.45,0.39%,0.74,32.11%,"Jan 17, 2022","Jan 06, 2022",2:1,"Jul 06, 2006","Jul 30, 2021","Oct 30, 2021",20.28%,24.40%,12.80%,27.93%,10.32B,37.86,51.70%,8B,2.89B,2.09B,7.58,15.20%,3.25B,11.48,2.51B,25.76,2.10,35.62,3.35B,2.69B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TXN,181.01B,178.97B,25.16,23.36,2.20,10.42,14.90,10.18,18.74,0.93,14.70%,25.05%,202.26,159.56,192.45,188.96,4.34M,5.36M,923.53M,N/A,921.9M,0.21%,85.66%,16.91M,3.79,1.83%,1.83%,15.03M,4.6,2.47%,4.08,2.19%,2.41,52.37%,"Nov 14, 2021","Oct 28, 2021",2:1,"May 22, 2000","Dec 30, 2020","Sep 29, 2021",41.61%,47.04%,24.93%,71.49%,17.59B,19.07,21.60%,9.27B,9.01B,7.29B,7.79,43.90%,9.78B,10.59,7.74B,63.69,5.63,13.16,8.52B,5.09B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHOP,183.57B,177.15B,54.46,277.78,N/A,43.87,16.15,42.08,46.48,1.46,10.54%,25.05%,"1,762.92","1,005.14","1,487.28","1,373.27",1.06M,1.17M,113.63M,125.6M,113.49M,0.29%,70.73%,1.87M,1.74,2.88%,1.49%,2.18M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Sep 29, 2021",81.00%,11.01%,2.76%,38.87%,4.21B,34.01,46.40%,1.54B,516.4M,3.41B,27.00,501.10%,7.52B,59.86,1.1B,9.68,13.97,90.55,489.34M,522.55M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD,167.31B,164.29B,42.63,42.19,1.22,11.42,23.45,11.06,47.25,1.93,47.75%,25.05%,164.46,72.50,135.47,101.70,53.9M,54.07M,1.21B,N/A,1.2B,0.42%,70.45%,71.64M,1.1,5.96%,5.93%,70.19M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,"Apr 26, 1995",2:1,"Aug 21, 2000","Dec 25, 2020","Sep 24, 2021",26.72%,20.50%,20.93%,72.14%,14.85B,12.25,54.00%,4.35B,3.42B,3.97B,3.24,136.70%,3.61B,2.99,702M,9.84,2.24,5.89,3.25B,2.44B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAP,159.03B,165.86B,24.71,19.84,2.35,5.14,4.00,6.05,16.26,0.98,10.62%,25.05%,151.48,120.08,140.09,139.80,613.04k,716.74k,1.18B,N/A,1.04B,0.00%,4.42%,2.56M,4.77,N/A,0.22%,1.9M,2.26,1.63%,1.85,1.33%,1.39,38.39%,"May 24, 2021","May 12, 2021",4:1,"Jul 27, 1998","Dec 30, 2020","Sep 29, 2021",20.84%,20.80%,5.73%,17.74%,27.4B,23.23,4.70%,19.45B,6.78B,5.71B,5.43,-9.60%,7.94B,6.73,15.55B,42.22,1.17,29.83,7.05B,2.17B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SONY,151.64B,158.83B,18.59,19.38,N/A,1.84,2.46,0.02,0.08,0.64,21.86%,25.05%,126.00,91.75,119.30,107.30,600.47k,540.85k,1.24B,N/A,1.22B,0.07%,8.06%,1.08M,2,N/A,0.09%,1.14M,0.55,0.45%,60.00,49.53%,0.52,3.99%,"Dec 07, 2017","Mar 28, 2021",2:1,"May 24, 2000","Mar 30, 2021","Sep 29, 2021",9.88%,10.77%,2.40%,15.62%,9.56T,"7,719.09",12.60%,2.43T,1.47T,944.53B,6.63,-53.50%,874.86B,705.38,2.66T,37.31,0.62,"5,703.63",1.07T,2.75T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMAT,137.90B,137.90B,23.86,18.69,2.15,6.09,11.26,5.98,18.63,1.38,69.14%,25.05%,159.00,83.53,144.63,135.74,7.24M,7.17M,902.93M,N/A,885.83M,0.27%,80.02%,12.05M,1.57,1.34%,1.33%,11.62M,0.96,0.66%,0.94,0.64%,1.21,14.38%,"Mar 15, 2022","Feb 21, 2022",2:1,"Apr 16, 2002","Oct 30, 2021","Oct 30, 2021",25.53%,31.47%,18.83%,51.59%,23.06B,25.34,30.60%,10.93B,7.65B,5.89B,6.40,51.40%,5.46B,6.14,5.75B,46.97,2.54,13.73,5.44B,3.32B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOW,128.75B,127.95B,593.58,88.50,2.73,23.67,36.43,23.13,183.23,1.02,11.77%,25.05%,707.60,448.27,661.15,577.99,1.16M,1.54M,199M,N/A,198.35M,0.38%,89.91%,3M,3.06,1.51%,1.51%,3.34M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Sep 29, 2021",3.99%,4.34%,1.74%,7.10%,5.53B,28.16,31.20%,3.53B,679.24M,220.5M,1.09,384.60%,3.03B,15.23,2.23B,63.02,1.13,17.76,2.03B,2.11B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBM,111.28B,162.21B,23.96,10.86,2.15,1.50,5.01,2.18,12.51,1.10,8.00%,25.05%,146.12,112.20,123.24,131.27,6.05M,6.02M,896.32M,N/A,895.22M,0.13%,57.77%,22.8M,4.01,2.55%,2.54%,26.2M,6.56,5.15%,6.54,5.13%,4.54,126.25%,"Dec 09, 2021","Nov 08, 2021",1046:1000,"Nov 03, 2021","Dec 30, 2020","Sep 29, 2021",6.40%,11.98%,3.74%,21.41%,74.46B,83.23,0.30%,35.58B,15.66B,4.68B,5.28,-33.50%,8.06B,8.98,58.98B,263.80,0.84,24.79,16.11B,12.53B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNOW,113.71B,110.02B,N/A,N/A,N/A,106.51,22.71,107.23,-147.76,N/A,-5.01%,25.05%,405.00,184.71,353.28,280.52,3.03M,4.03M,306.3M,283.1M,219.59M,5.05%,69.03%,6.48M,2.3,2.86%,2.11%,9.26M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Jan 30, 2021","Oct 30, 2021",-72.78%,-74.40%,-8.03%,-14.97%,1.03B,3.49,109.50%,349.46M,-744.6M,-746.73M,-2.54,N/A,3.89B,12.7,203.89M,4.07,4.49,16.37,50.9M,353.17M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFY,97.51B,95.04B,35.14,28.41,2.36,6.60,10.32,6.38,21.69,0.59,50.91%,25.05%,24.50,15.78,23.02,21.25,7.73M,6.34M,4.19B,N/A,3.63B,0.00%,18.46%,27.18M,4.53,N/A,0.65%,24.32M,0.4,1.68%,0.40,1.66%,2.46,54.94%,"Nov 11, 2021","Oct 25, 2021",2:1,"Sep 11, 2018","Mar 30, 2021","Sep 29, 2021",19.04%,24.26%,16.35%,29.68%,14.91B,3.52,20.70%,4.61B,3.98B,2.84B,0.66,12.30%,3.1B,0.74,693M,7.31,2.17,2.25,3.4B,2.63B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRCX,99.40B,99.78B,23.87,20.08,1.48,6.46,17.08,6.33,18.80,1.17,38.48%,25.05%,719.91,465.50,619.97,611.77,1.4M,1.29M,140.8M,N/A,140.35M,0.21%,84.65%,2.06M,1.52,1.47%,1.46%,2.51M,6,0.90%,5.40,0.81%,1.40,18.26%,"Jan 04, 2022","Dec 13, 2021",3:1,"Mar 16, 2000","Jun 26, 2021","Sep 25, 2021",27.07%,31.06%,19.97%,75.89%,15.75B,110.38,35.50%,6.81B,5.21B,4.26B,29.59,43.30%,4.61B,32.75,5B,85.83,3.27,41.33,3.4B,1.96B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU,95.82B,94.47B,16.64,9.29,1.03,3.52,2.18,3.41,7.49,1.14,16.13%,25.05%,96.96,65.67,76.33,79.39,18.21M,15.24M,1.12B,N/A,1.12B,0.20%,80.54%,24.08M,1.25,2.15%,2.15%,24.52M,0.1,0.12%,0.10,0.12%,N/A,0.00%,"Oct 17, 2021","Sep 29, 2021",2:1,"May 01, 2000","Sep 01, 2021","Sep 01, 2021",21.16%,24.53%,7.55%,14.14%,27.7B,24.74,36.60%,10.47B,13.01B,5.86B,5.14,175.30%,8.63B,7.72,7.34B,16.70,3.10,39.26,12.47B,-805.88M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADI,96.36B,101.21B,53.01,24.33,2.32,10.06,2.54,13.83,39.10,1.12,19.30%,25.05%,191.95,141.31,178.99,166.66,3.42M,4.23M,525.33M,N/A,523.15M,0.22%,88.13%,7.41M,2.5,1.41%,1.41%,9.18M,2.76,1.62%,2.76,1.62%,1.93,77.75%,"Dec 13, 2021","Dec 01, 2021",2:1,"Mar 15, 2000","Oct 29, 2021","Oct 29, 2021",19.00%,24.23%,3.00%,5.56%,7.32B,18.41,53.30%,4.53B,2.85B,1.39B,3.46,-80.40%,1.98B,3.77,7.12B,18.74,1.94,72.32,2.74B,1.12B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAM,94.18B,93.83B,N/A,243.90,8.78,41.64,N/A,41.82,-118.51,0.85,41.41%,25.05%,483.13,198.80,406.62,311.97,1.11M,1.56M,140.42M,252.75M,137.18M,0.57%,87.20%,2.54M,2.87,1.82%,1.00%,2.22M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Jun 29, 2021","Sep 29, 2021",-47.91%,6.15%,2.31%,-325.12%,2.24B,8.95,33.60%,1.75B,170.94M,-1.07B,-4.29,N/A,1.6B,6.38,1.26B,N/A,0.84,-0.11,840.25M,662.18M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UBER,71.14B,75.60B,N/A,2.50k,N/A,4.59,5.11,5.09,-52.46,1.29,-23.40%,25.05%,64.05,34.88,42.89,47.35,28.93M,35.95M,1.94B,N/A,1.94B,0.44%,74.02%,78.68M,2.58,4.22%,4.06%,84.28M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Sep 29, 2021",-15.88%,-23.66%,-6.67%,-19.71%,14.84B,7.99,72.20%,4.36B,-2.73B,-2.36B,-1.29,N/A,6.48B,3.34,11.21B,78.44,1.19,7.53,-1.14B,358.62M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ,83.64B,81.53B,164.84,84.75,1.76,5.87,28.26,4.87,118.75,2.38,-28.45%,25.05%,289.23,157.71,223.88,237.48,7.95M,10.01M,399.18M,461.28M,395.3M,1.17%,77.83%,39.6M,5.4,9.97%,8.59%,40.48M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Sep 29, 2021",3.21%,1.98%,1.89%,21.07%,16.74B,36.71,26.70%,2.74B,430.41M,537.07M,1.00,-99.80%,5.38B,11.67,5.92B,197.00,1.90,6.42,793.5M,521.72M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
